变量名,costItemMap1,costItemMap2,costItemMap3,costItemMap4,costItemMap5,costItemMap6,costItemMap7,costItemMap8,costItemMap9,costItemMap10,costItemMap11,costItemMap12,costItemMap13,costItemMap14,costItemMap15,costItemMap16,costItemMap17,costItemMap18,costItemMap19,costItemMap20,costItemMap21,costItemMap22,costItemMap23,costItemMap24,costItemMap25,costItemMap26,costItemMap27,costItemMap28,costItemMap29,costItemMap30,costItemMap31,costItemMap32,costItemMap33,costItemMap34,costItemMap35,costItemMap36,costItemMap37,costItemMap38,costItemMap39,costItemMap40,costItemMap41,costItemMap42,costItemMap43,costItemMap44,costItemMap45,costItemMap46,costItemMap47,costItemMap48,costItemMap49,costItemMap50,costItemMap51,costItemMap52
默认值,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
等级,道具消耗序列1,道具消耗序列2,道具消耗序列3,道具消耗序列4,道具消耗序列5,道具消耗序列6,道具消耗序列7,道具消耗序列8,道具消耗序列9,道具消耗序列10,道具消耗序列11,道具消耗序列12,道具消耗序列13,道具消耗序列14,道具消耗序列15,道具消耗序列16,道具消耗序列17,道具消耗序列18,道具消耗序列19,道具消耗序列20,道具消耗序列21,道具消耗序列22,道具消耗序列23,道具消耗序列24,道具消耗序列25,道具消耗序列26,道具消耗序列27,道具消耗序列28,道具消耗序列29,道具消耗序列30,道具消耗序列31,道具消耗序列32,道具消耗序列33,道具消耗序列34,道具消耗序列35,道具消耗序列36,道具消耗序列37,道具消耗序列38,道具消耗序列39,道具消耗序列40,道具消耗序列41,道具消耗序列42,道具消耗序列43,道具消耗序列44,道具消耗序列45,道具消耗序列46,道具消耗序列47,道具消耗序列48,道具消耗序列49,道具消耗序列50,道具消耗序列51,道具消耗序列52
0,{501=2},{501=4},{501=1},{501=2},{200=1},{201=1},{202=1},{203=1},{204=1},{205=1},{210=1},{211=1},{212=1},{213=1},{214=1},{215=1},{220=1},{221=1},{222=1},{223=1},{224=1},{225=1},{230=1},{231=1},{232=1},{233=1},{234=1},{235=1},{200=1},{201=1},{202=1},{203=1},{204=1},{205=1},{210=1},{211=1},{212=1},{213=1},{214=1},{215=1},{220=1},{221=1},{222=1},{223=1},{224=1},{225=1},{230=1},{231=1},{232=1},{233=1},{234=1},{235=1}
1,{501=4},{501=8},{501=2},{501=4},{200=1},{201=1},{202=1},{203=1},{204=1},{205=1},{210=1},{211=1},{212=1},{213=1},{214=1},{215=1},{220=1},{221=1},{222=1},{223=1},{224=1},{225=1},{230=1},{231=1},{232=1},{233=1},{234=1},{235=1},{200=1},{201=1},{202=1},{203=1},{204=1},{205=1},{210=1},{211=1},{212=1},{213=1},{214=1},{215=1},{220=1},{221=1},{222=1},{223=1},{224=1},{225=1},{230=1},{231=1},{232=1},{233=1},{234=1},{235=1}
2,{501=8},{501=16},{501=4},{501=8},{200=1},{201=1},{202=1},{203=1},{204=1},{205=1},{210=1},{211=1},{212=1},{213=1},{214=1},{215=1},{220=1},{221=1},{222=1},{223=1},{224=1},{225=1},{230=1},{231=1},{232=1},{233=1},{234=1},{235=1},{200=2},{201=2},{202=2},{203=2},{204=2},{205=2},{210=2},{211=2},{212=2},{213=2},{214=2},{215=2},{220=2},{221=2},{222=2},{223=2},{224=2},{225=2},{230=2},{231=2},{232=2},{233=2},{234=2},{235=2}
3,{501=16},{501=32},{501=8},{501=16},{200=1},{201=1},{202=1},{203=1},{204=1},{205=1},{210=1},{211=1},{212=1},{213=1},{214=1},{215=1},{220=1},{221=1},{222=1},{223=1},{224=1},{225=1},{230=1},{231=1},{232=1},{233=1},{234=1},{235=1},{200=2},{201=2},{202=2},{203=2},{204=2},{205=2},{210=2},{211=2},{212=2},{213=2},{214=2},{215=2},{220=2},{221=2},{222=2},{223=2},{224=2},{225=2},{230=2},{231=2},{232=2},{233=2},{234=2},{235=2}
4,{501=32},{501=64},{501=16},{501=32},{200=1},{201=1},{202=1},{203=1},{204=1},{205=1},{210=1},{211=1},{212=1},{213=1},{214=1},{215=1},{220=1},{221=1},{222=1},{223=1},{224=1},{225=1},{230=1},{231=1},{232=1},{233=1},{234=1},{235=1},{200=2},{201=2},{202=2},{203=2},{204=2},{205=2},{210=2},{211=2},{212=2},{213=2},{214=2},{215=2},{220=2},{221=2},{222=2},{223=2},{224=2},{225=2},{230=2},{231=2},{232=2},{233=2},{234=2},{235=2}
5,{501=32},{501=64},{501=16},{501=32},{200=1},{201=1},{202=1},{203=1},{204=1},{205=1},{210=1},{211=1},{212=1},{213=1},{214=1},{215=1},{220=1},{221=1},{222=1},{223=1},{224=1},{225=1},{230=1},{231=1},{232=1},{233=1},{234=1},{235=1},{200=2},{201=2},{202=2},{203=2},{204=2},{205=2},{210=2},{211=2},{212=2},{213=2},{214=2},{215=2},{220=2},{221=2},{222=2},{223=2},{224=2},{225=2},{230=2},{231=2},{232=2},{233=2},{234=2},{235=2}
6,{501=32},{501=64},{501=16},{501=32},{200=1},{201=1},{202=1},{203=1},{204=1},{205=1},{210=1},{211=1},{212=1},{213=1},{214=1},{215=1},{220=1},{221=1},{222=1},{223=1},{224=1},{225=1},{230=1},{231=1},{232=1},{233=1},{234=1},{235=1},{200=2},{201=2},{202=2},{203=2},{204=2},{205=2},{210=2},{211=2},{212=2},{213=2},{214=2},{215=2},{220=2},{221=2},{222=2},{223=2},{224=2},{225=2},{230=2},{231=2},{232=2},{233=2},{234=2},{235=2}
7,{501=32},{501=64},{501=16},{501=32},{200=1},{201=1},{202=1},{203=1},{204=1},{205=1},{210=1},{211=1},{212=1},{213=1},{214=1},{215=1},{220=1},{221=1},{222=1},{223=1},{224=1},{225=1},{230=1},{231=1},{232=1},{233=1},{234=1},{235=1},{200=2},{201=2},{202=2},{203=2},{204=2},{205=2},{210=2},{211=2},{212=2},{213=2},{214=2},{215=2},{220=2},{221=2},{222=2},{223=2},{224=2},{225=2},{230=2},{231=2},{232=2},{233=2},{234=2},{235=2}
